image#0#0	caption
109738763_90541ef30d#2	snowmobile rider flies through the air on his or her machine in front of tall pine trees
109738763_90541ef30d#3	rider jumps snowmobile high in rural area
109738763_90541ef30d#4	the man is up in the air
109738916_236dc456ac#0	people are riding around on snowmobiles
109738916_236dc456ac#1	people pose with helmets and goggles on while riding snowmobiles
109738916_236dc456ac#2	several people are taking break while on snowmobiling ride
109738916_236dc456ac#3	three people and two snowmobiles
109738916_236dc456ac#4	two helmeted men sit on yellow snowmobiles while another man stands behind watching
109823394_83fcb735e1#0	three people drive atvs
109823394_83fcb735e1#1	three people on atvs in brown field turn their heads to look at the camera
109823394_83fcb735e1#2	three people on atv outside
109823394_83fcb735e1#3	three people on four wheel atv in field
109823394_83fcb735e1#4	three people ride their four wheelers through the field
109823395_6fb423a90f#0	four wheeler jumping in an empty field
109823395_6fb423a90f#1	man on four wheeler is flying through the air
109823395_6fb423a90f#2	person is riding an orange atv in large empty field
109823395_6fb423a90f#3	man jumping with all terrain vehicle
109823395_6fb423a90f#4	man on an atv catching air
109823397_e35154645f#0	man jumps gin the air while riding an atv
109823397_e35154645f#1	man on fourwheeler jumps near small building
109823397_e35154645f#2	an atv is airborne over field in front of white structure
109823397_e35154645f#3	person dressed in tan jacket jumps quad over harvested cornfield in front of small out building
109823397_e35154645f#4	man on four wheeler in the air
1100214449_d10861e633#0	boy in striped shirt is jumping in front of water fountain
1100214449_d10861e633#1	boy is jumping off the side of running stone water fountain in front of building
1100214449_d10861e633#2	happy boy is jumping in front od city fountain
1100214449_d10861e633#3	little boy is jumping in front of fountain
1100214449_d10861e633#4	little boy is playfully jumping off the side of fountain
1104133405_c04a00707f#0	boy carrying soccer ball
1104133405_c04a00707f#1	boy walks with ball tucked under his arm
1104133405_c04a00707f#2	boy walks with soccer ball near fence
1104133405_c04a00707f#3	boy wearing white tshirt walks on the grass and carries soccer ball
1104133405_c04a00707f#4	small boy carries soccer ball on field
1105959054_9c3a738096#0	child painting picture
1105959054_9c3a738096#1	an artist paints clouds onto canvas
1105959054_9c3a738096#2	young girl painting picture
1105959054_9c3a738096#3	young girl with braids is painting with water colors on white paper on the wall
1105959054_9c3a738096#4	the child paints on large paper with water colors
110595925_f3395c8bd6#0	cyclist is riding bicycle on curved road up hill
110595925_f3395c8bd6#1	man in aerodynamic gear riding bicycle down road around sharp curve
110595925_f3395c8bd6#2	man on mountain bike is pedaling up hill
110595925_f3395c8bd6#3	man bicycle up road while cows graze on hill nearby
110595925_f3395c8bd6#4	the biker is riding around curve in the road
1107246521_d16a476380#0	black dog jumping to catch rope toy
1107246521_d16a476380#1	black dog playing fetch with ball of rope
1107246521_d16a476380#2	black dog pounces to get rope toy
1107246521_d16a476380#3	black dog running after his rope toy
1107246521_d16a476380#4	large black dog is playing in grassy yard
1107471216_4336c9b328#0	little girl is holding cine camera in front of her face
1107471216_4336c9b328#1	young girl is looking through an old fashioned video camera
1107471216_4336c9b328#2	young girl steadies her aim with camera
1107471216_4336c9b328#3	girl with rosy cheeks and lips holding black toy gun
1107471216_4336c9b328#4	there is kid with gun
1110208841_5bb6806afe#0	black and white border collie catches frisbee in front of an audience
1110208841_5bb6806afe#1	brown and white dog catches frisbee in it mouth in front of group of people
1110208841_5bb6806afe#2	brown and white dug jumping up to catch frisbee while an audience watches
1110208841_5bb6806afe#3	dog jumps to catch frisbee while many people watch
1110208841_5bb6806afe#4	an agile dog catches frisbee while crowd of onlookers watches closely
1112212364_0c48235fc2#0	baby is sitting on and playing with smooth rocks
1112212364_0c48235fc2#1	baby is stacking rocks on the beach
1112212364_0c48235fc2#2	small boy is playing with rocks
1112212364_0c48235fc2#3	toddler sitting on pile of rocks holding rock at beach
1112212364_0c48235fc2#4	toddler sits on pile of rocks
111497985_38e9f88856#0	kid rock climbing against the backdrop of green valley
111497985_38e9f88856#1	woman in striped shirt climbs up mountain
111497985_38e9f88856#2	young man climbs rocky hill
111497985_38e9f88856#3	the person has striped shirt on and is holding on to rope on mountain
111497985_38e9f88856#4	the person in the striped shirt is mountain climbing
111537217_082a4ba060#0	man climbing rock wall
111537217_082a4ba060#1	man climbing the side of cliff
111537217_082a4ba060#2	man is rock climbing
111537217_082a4ba060#3	man with red shoes white shirt and grey pants climbing
111537217_082a4ba060#4	the young man with the white tshirt and jeans is rappeling up the rock wall
111537222_07e56d5a30#0	climber wearing blue helmet and headlamp is attached to rope on the rock face
111537222_07e56d5a30#1	man climbs rocky wall
111537222_07e56d5a30#2	rock climber climbs large rock
111537222_07e56d5a30#3	woman in purple snakeskin pants climbs rock
111537222_07e56d5a30#4	person with blue helmet and purple pants is rock climbing
1115565519_d976d4b1f1#0	child playing with fountain at the beach
1115565519_d976d4b1f1#1	child plays with fountain
1115565519_d976d4b1f1#2	girl looks at fountain that sprays water
1115565519_d976d4b1f1#3	little girl playing in water on frog sculpture
1115565519_d976d4b1f1#4	the little girl is playing with toy in public fountain
1115679311_245eff2f4b#0	black dog is jumping over log along beach
1115679311_245eff2f4b#1	black dog runs along the beach and jumps over wood barrior
1115679311_245eff2f4b#2	dog is running on the beach
1115679311_245eff2f4b#3	dog jumping over small wall at beach near the water
1115679311_245eff2f4b#4	an animal is running on the beach
111766423_4522d36e56#0	black and white bird eating seeds out of someone hand
111766423_4522d36e56#1	black and white bird standing on hand
111766423_4522d36e56#2	small bird sits in person hand and eats seeds
111766423_4522d36e56#3	black and white bird standing on hand of someone holding sunflower seeds
111766423_4522d36e56#4	the small bird is clinging to finger of the hand holding the seeds
1117972841_2b9261f95f#0	brown dog is running in the sand
1117972841_2b9261f95f#1	brown dog playing in the sand
1117972841_2b9261f95f#2	brown dog plays at the beach
1117972841_2b9261f95f#3	dog is standing in the sand
1117972841_2b9261f95f#4	dog running fast in the sand
1118557877_736f339752#0	little boy stands in the surf
1118557877_736f339752#1	small child wades through the water while being guided by another person
1118557877_736f339752#2	young boy laughs while splashing in the ocean
1118557877_736f339752#3	young boy wearing colorful bathing suit splashing in the ocean
1118557877_736f339752#4	young child splashing in water
1119015538_e8e796281e#0	little tan dog with large ears running through the grass
1119015538_e8e796281e#1	playful dog is running through the grass
1119015538_e8e796281e#2	small dogs ears stick up as it runs in the grass
1119015538_e8e796281e#3	the small dog is running across the lawn
1119015538_e8e796281e#4	this is small beige dog running through grassy field
1119418776_58e4b93eac#0	black and white dog is running through the field
1119418776_58e4b93eac#1	black brown and white dog running through field
1119418776_58e4b93eac#2	brown black and white dog is running through large field with its mouth open
1119418776_58e4b93eac#3	dog running in field
1119418776_58e4b93eac#4	dog with its mouth open running through field torwards the camera
1119463452_69d4eecd08#0	girl in pink swimsuit in pool
1119463452_69d4eecd08#1	girl swimming in pool
1119463452_69d4eecd08#2	little girl in pink bathing suit swimming in pool
1119463452_69d4eecd08#3	little girl swimming in pool
1119463452_69d4eecd08#4	smiling little girl swimming in outdoor pool
1121416483_c7902d0d49#0	child is standing on her head
1121416483_c7902d0d49#1	little girl standing on her head
1121416483_c7902d0d49#2	small child doing handstand on bed
1121416483_c7902d0d49#3	young girl does handstand on bed with blue sheets
1121416483_c7902d0d49#4	the girl is upside down on bed
112178718_87270d9b4d#0	guy stands in the sand with snowboard behind him
112178718_87270d9b4d#1	man holds surfboard on the beach
112178718_87270d9b4d#2	man holds his snowboard in the sand
112178718_87270d9b4d#3	man with his surfboard stands in the sand
112178718_87270d9b4d#4	man is standing on white sand and holding snowboard
112243673_fd68255217#0	people on atvs and dirt bikes are traveling along worn path in field surrounded by trees
112243673_fd68255217#1	three people are riding around on atv and motorcycles
112243673_fd68255217#2	three people on motorbikes follow trail through dry grass
112243673_fd68255217#3	three people on two dirtbikes and one fourwheeler are riding through brown grass
112243673_fd68255217#4	three people ride offroad bikes through field surrounded by trees
1122944218_8eb3607403#0	baby in white garment holds flag with crescent moon and star
1122944218_8eb3607403#1	baby is holding small black flag with moon and star on it
1122944218_8eb3607403#2	baby wearing white gown waves muslim flag
1122944218_8eb3607403#3	little toddler dressed in white is smiling while lady helps him wave flag
1122944218_8eb3607403#4	baby in white outfit holding black and white flag
1124448967_2221af8dc5#0	half naked man is sleeping on his chair outdoors
1124448967_2221af8dc5#1	an older man sits back and relaxes on patio outside an adobe building where many bicycles are propped
1124448967_2221af8dc5#2	shirtless man in white cap relaxes in deck chair close to three parked bicycles
1124448967_2221af8dc5#3	man relaxing in folding chair on the street
1124448967_2221af8dc5#4	topless old man wearing slippers navy blue pants and white hat while reclining in chair outside
1129704496_4a61441f2c#0	brown and white and black and white dog hauling in floating toy from the ocean
1129704496_4a61441f2c#1	both dogs retrieve the play toy from the water
1129704496_4a61441f2c#2	two dogs in the ocean playing with toy
1129704496_4a61441f2c#3	two dogs run through the water with rope in their mouths
1129704496_4a61441f2c#4	two dogs tug at chew toy in the surf
1130017585_1a219257ac#0	there are three young people one dark haired holding bottled drink one with head tilted back and finger in her mouth and one with spiked hair
1130017585_1a219257ac#1	the young people party in the streets
1130017585_1a219257ac#2	three girls make faces as one takes drink while they stand in busy street
1130017585_1a219257ac#3	three women on the street drinking and posing
